date,rawContent,processed_content,tokenized_content
2023-03-06 16:04:38+00:00,6th.,6th,['6th']
2023-03-06 16:03:11+00:00,Season 4-6 *chefs kiss*,season 46 chef kiss,"['season', '46', 'chef', 'kiss']"
2023-03-06 16:02:03+00:00,"Entre la saison 3 et 6, cette période c'est trop l'apogée de la série à mes yeux même si les saisons 1,2 et 7 sont très bien aussi",entr la saison 3 et 6 cett périod cest trop lapogé de la série à me yeux même si le saison 12 et 7 sont trè bien aussi,"['entr', 'la', 'saison', '3', 'et', '6', 'cett', 'périod', 'cest', 'trop', 'lapogé', 'de', 'la', 'série', 'à', 'me', 'yeux', 'même', 'si', 'le', 'saison', '12', 'et', '7', 'sont', 'trè', 'bien', 'aussi']"
2023-03-06 15:59:31+00:00,When I say none of them https://t.co/ZknZVsUWfg,say none httpstcozknzvsuwfg,"['say', 'none', 'httpstcozknzvsuwfg']"
2023-03-06 15:58:26+00:00,LA TERZA in realtà le prime quattro ma LA TERZA,la terza realtà le prime quattro la terza,"['la', 'terza', 'realtà', 'le', 'prime', 'quattro', 'la', 'terza']"
2023-03-06 15:46:15+00:00,fico em dúvida entre a 4° e a 6°,fico em dúvida entr 4 e 6,"['fico', 'em', 'dúvida', 'entr', '4', 'e', '6']"
2023-03-06 15:42:36+00:00,Eu amo assistir a 7 mesmo com as incoerências pq tem jonerys e a Dany botando pra fuder em Westeros,eu amo assistir 7 mesmo com incoerência pq tem joneri e dani botando pra fuder em westero,"['eu', 'amo', 'assistir', '7', 'mesmo', 'com', 'incoerência', 'pq', 'tem', 'joneri', 'e', 'dani', 'botando', 'pra', 'fuder', 'em', 'westero']"
2023-03-06 15:33:36+00:00,"6 
Obvi 🤷‍♂️",6 obvi,"['6', 'obvi']"
2023-03-06 15:32:40+00:00,the first four,first four,"['first', 'four']"
2023-03-06 15:31:19+00:00,toutes,tout,['tout']
2023-03-06 15:21:22+00:00,4-6-7,467,['467']
2023-03-06 15:14:42+00:00,ซีซั่น 8 จ้า 😅,ซซน 8 จา,"['ซซน', '8', 'จา']"
2023-03-06 15:14:17+00:00,La 4 &amp; 5,la 4 amp 5,"['la', '4', 'amp', '5']"
